1,2348,1547.68,379.08,339.91,420.07,1,1,1,1
1,2349,254.93,126.86,746.12,812.11,1,1,1,1
2,2348,1563.62,369.67,347.77,430.0,1,1,1,1
2,2349,254.32,123.46,763.3,831.2,1,1,1,1
3,2348,1585.55,360.14,344.25,425.66,1,1,1,1
3,2349,260.58,141.02,758.16,825.64,1,1,1,1
4,2348,1605.62,348.98,343.92,425.45,1,1,1,1
4,2349,257.33,131.81,765.57,833.81,1,1,1,1
5,2348,1622.6,337.27,346.27,428.51,1,1,1,1
5,2349,246.39,111.06,782.17,852.08,1,1,1,1
6,2348,1637.05,324.25,350.52,434.27,1,1,1,1
6,2349,236.06,95.49,791.3,861.52,1,1,1,1
7,2348,1653.99,315.48,351.99,436.67,1,1,1,1
7,2349,228.49,87.88,796.44,865.99,1,1,1,1
7,2350,3496.86,685.25,351.24,419.22,1,1,1,0
8,2348,1670.01,308.0,354.42,440.14,1,1,1,1
8,2349,213.44,83.8,808.97,877.14,1,1,1,1
8,2350,3504.12,691.49,339.04,404.05,1,1,1,0
9,2348,1687.13,301.58,352.64,438.06,1,1,1,1
9,2349,195.65,73.87,824.64,890.48,1,1,1,1
9,2350,3508.0,692.4,339.73,404.33,1,1,1,0
9,2351,2474.2,934.15,211.49,216.96,1,1,1,0
10,2348,1704.28,296.37,354.92,441.26,1,1,1,1
10,2349,182.67,71.84,821.3,877.66,1,1,1,1
10,2350,3509.44,700.78,335.54,398.34,1,1,1,0
10,2351,2460.6,940.91,212.75,218.77,1,1,1,0
10,2352,3395.78,1119.9,49.08,54.0,1,1,1,0
11,2348,1717.23,292.15,360.66,449.03,1,1,1,1
11,2349,168.95,74.27,821.42,866.28,1,1,1,1
11,2350,3510.76,704.21,335.81,397.56,1,1,1,0
11,2351,2434.33,946.57,226.46,234.14,1,1,1,0
11,2352,3397.47,1123.5,50.14,55.11,1,1,1,0
11,2353,3199.02,1090.85,67.5,80.76,1,1,1,0
11,2354,2870.11,1060.59,157.36,171.64,1,1,1,0
12,2348,1730.6,287.87,365.31,455.66,1,1,1,1
12,2349,150.68,67.77,839.56,873.53,1,1,1,1
12,2350,3511.15,712.9,335.88,396.65,1,1,1,0
12,2351,2418.14,959.51,221.62,230.5,1,1,1,0
12,2352,3401.31,1128.89,51.37,56.41,1,1,1,0
12,2353,3199.77,1095.49,65.99,78.9,1,1,1,0
12,2354,2876.92,1067.21,157.9,172.2,1,1,1,0
13,2348,1744.53,283.66,370.34,462.54,1,1,1,1
13,2349,138.3,74.35,847.14,867.29,1,1,1,1
13,2350,3512.22,719.1,337.29,397.35,1,1,1,0
13,2352,3406.81,1134.98,50.24,55.03,1,1,1,0
13,2353,3200.01,1100.84,65.53,78.28,1,1,1,0
13,2354,2883.77,1074.57,160.17,174.73,1,1,1,0
14,2348,1759.26,280.05,372.77,465.74,1,1,1,1
14,2349,136.89,74.67,855.11,862.34,1,1,1,1
14,2350,3513.72,724.4,338.77,397.73,1,1,1,0
14,2352,3412.1,1139.91,49.7,54.5,1,1,1,0
14,2353,3201.85,1105.97,65.48,78.15,1,1,1,0
14,2354,2890.94,1078.04,161.21,175.96,1,1,1,0
15,2348,1777.18,277.95,373.18,465.43,1,1,1,1
15,2349,144.69,80.77,860.64,856.17,1,1,1,1
15,2350,3513.87,726.91,343.29,402.08,1,1,1,0
15,2352,3417.33,1143.1,52.61,57.73,1,1,1,0
15,2353,3205.56,1110.08,66.25,79.02,1,1,1,0
15,2354,2897.57,1083.28,162.92,178.04,1,1,1,0
16,2348,1794.42,275.33,378.21,471.23,1,1,1,1
16,2349,146.14,87.01,874.75,859.61,1,1,1,1
16,2350,3514.89,732.09,346.12,404.55,1,1,1,0
16,2352,3426.26,1148.99,52.22,57.22,1,1,1,0
16,2353,3210.82,1114.7,65.24,77.63,1,1,1,0
16,2354,2902.13,1083.21,168.57,184.61,1,1,1,0
17,2348,1813.54,271.77,380.67,473.32,1,1,1,1
17,2349,151.06,100.4,887.7,865.06,1,1,1,1
17,2350,3521.01,734.62,348.51,407.12,1,1,1,0
17,2352,3437.6,1152.23,52.09,56.98,1,1,1,0
17,2353,3216.25,1118.65,64.34,76.31,1,1,1,0
17,2354,2908.45,1084.66,170.55,186.9,1,1,1,0
18,2348,1829.12,266.67,385.92,477.55,1,1,1,1
18,2349,147.65,106.87,908.04,880.01,1,1,1,1
18,2350,3526.37,736.98,349.52,408.1,1,1,1,0
18,2352,3446.42,1155.27,52.08,56.87,1,1,1,0
18,2353,3221.33,1121.1,64.19,75.86,1,1,1,0
18,2354,2911.28,1089.49,169.76,185.61,1,1,1,0
19,2348,1845.1,259.4,391.85,483.39,1,1,1,1
19,2349,153.09,105.93,905.86,872.71,1,1,1,1
